Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
Asia,Sri Lanka,Fruits,Online,H,13/03/0017,484823930,20/04/0017,9030,9.33,6.92
Asia,India,Snacks,Online,M,17/03/0016,802643382,02/04/0016,8868,152.58,97.44
Asia,Indonesia,Baby Food,Offline,H,29/07/0010,833098256,13/08/0010,1142,255.28,159.42
Asia,India,Personal Care,Offline,H,05/03/0010,829856431,15/04/0010,1814,81.73,56.67
Asia,India,Vegetables,Offline,H,27/02/0011,369167077,04/04/0011,3597,154.06,90.93
Asia,India,Baby Food,Offline,H,01/08/0014,156325423,29/08/0014,9021,255.28,159.42
Asia,Sri Lanka,Personal Care,Offline,H,07/08/0010,436330878,28/08/0010,8858,81.73,56.67
Asia,Indonesia,Office Supplies,Online,M,18/02/0016,211837279,06/03/0016,6213,651.21,524.96
Asia,Indonesia,Vegetables,Online,H,10/06/0015,174815499,26/07/0015,646,154.06,90.93
Asia,Sri Lanka,Cosmetics,Online,M,23/05/0012,429862678,09/06/0012,4774,437.2,263.33
Asia,Sri Lanka,Clothes,Online,H,21/06/0017,395687901,22/06/0017,1698,109.28,35.84
Asia,India,Baby Food,Offline,M,02/01/0013,327396714,11/02/0013,2818,255.28,159.42
Asia,India,Cosmetics,Online,M,17/03/0015,965667188,03/05/0015,1235,437.2,263.33
Asia,Indonesia,Office Supplies,Offline,M,26/02/0013,983185660,04/04/0013,5340,651.21,524.96
Asia,Indonesia,Baby Food,Offline,H,18/07/0016,793878781,11/08/0016,5228,255.28,159.42
Asia,India,Snacks,Online,H,03/02/0010,476497066,13/03/0010,4925,152.58,97.44
Asia,India,Beverages,Online,M,29/10/0016,577301776,02/11/0016,5279,47.45,31.79
Asia,India,Cosmetics,Online,H,29/03/0011,635151660,15/04/0011,4346,437.2,263.33
Asia,India,Household,Online,M,26/02/0017,278114020,02/04/0017,8974,668.27,502.54
Asia,India,Meat,Online,H,08/01/0011,951109874,02/02/0011,3402,421.89,364.69
Asia,Sri Lanka,Cosmetics,Online,M,08/05/0014,230113208,25/05/0014,4467,437.2,263.33
Asia,Indonesia,Cosmetics,Offline,M,21/04/0012,286753737,11/05/0012,5658,437.2,263.33
Asia,India,Cosmetics,Online,H,18/09/0010,889031112,01/10/0010,2917,437.2,263.33
Asia,Sri Lanka,Fruits,Online,H,06/08/0011,951248919,16/09/0011,4549,9.33,6.92
Asia,Indonesia,Personal Care,Offline,H,03/03/0013,661985337,21/03/0013,5027,81.73,56.67
Asia,India,Fruits,Offline,H,22/12/0014,397013986,10/02/0015,4116,9.33,6.92
Asia,Indonesia,Vegetables,Offline,M,11/09/0016,921797835,29/10/0016,9319,154.06,90.93
Asia,India,Baby Food,Online,H,28/01/0010,313514888,13/03/0010,4877,255.28,159.42
Asia,Sri Lanka,Office Supplies,Offline,M,17/10/0010,128518855,29/10/0010,440,651.21,524.96
Asia,Indonesia,Cosmetics,Online,M,05/01/0014,430118453,25/01/0014,463,437.2,263.33
Asia,Indonesia,Personal Care,Offline,M,17/04/0012,786324822,16/05/0012,9844,81.73,56.67
Asia,Indonesia,Clothes,Online,H,29/09/0010,402370250,23/10/0010,9153,109.28,35.84
Asia,Indonesia,Baby Food,Offline,H,01/01/0016,159525620,19/01/0016,6031,255.28,159.42
Asia,Sri Lanka,Household,Offline,H,03/08/0016,297969233,14/08/0016,4573,668.27,502.54
Asia,Sri Lanka,Beverages,Offline,H,28/04/0010,700216472,17/06/0010,8469,47.45,31.79
Asia,Indonesia,Household,Offline,M,27/11/0014,337698972,20/12/0014,1485,668.27,502.54
Asia,India,Cosmetics,Online,M,28/06/0010,851868999,07/08/0010,5822,437.2,263.33
Asia,Indonesia,Beverages,Offline,M,14/09/0016,422226750,22/10/0016,5133,47.45,31.79
Asia,Indonesia,Cereal,Offline,M,01/09/0014,578049790,08/09/0014,6633,205.7,117.11
